Date,Actual,High,Low,Open,Volume,Coin,Predicted_Close,Lower_CI,Upper_CI
2024-07-01,62851.98046875,63777.2265625,62495.51171875,62673.60546875,25468379421.0,BTC-USD,63641.10924565041,58184.50690181208,69631.8460640163
2024-07-02,62029.015625,63203.359375,61752.74609375,62844.41015625,20151616992.0,BTC-USD,63116.26705087328,57686.93463782261,68903.43124548487
2024-07-03,60173.921875,62187.703125,59419.38671875,62034.33203125,29756701685.0,BTC-USD,63516.72365658309,57865.284141823795,69758.75402821053
2024-07-04,56977.703125,60399.67578125,56777.8046875,60147.13671875,41149609230.0,BTC-USD,63223.21869763162,57256.00372981237,69197.50536904494
2024-07-05,56662.375,57497.15234375,53717.375,57022.80859375,55417544033.0,BTC-USD,63212.66974802314,57451.80513402921,69023.31047725563
2024-07-06,58303.5390625,58472.546875,56038.9609375,56659.07421875,20610320577.0,BTC-USD,62967.55253530292,57046.896648769354,68649.96645416872
2024-07-07,55849.109375,58371.12109375,55793.32421875,58239.4296875,20553359505.0,BTC-USD,62939.61934326081,57208.13085141583,68891.83086661104
2024-07-08,56705.09765625,58131.3359375,54321.01953125,55849.57421875,39766159899.0,BTC-USD,63256.75210473827,57205.1351784017,69128.90562341489
2024-07-09,58009.2265625,58239.1953125,56316.875,56704.59765625,27849512607.0,BTC-USD,62731.909907903515,56962.2085129296,68462.63119626661
2024-07-10,57742.49609375,59359.43359375,57178.4140625,58033.8828125,26175260526.0,BTC-USD,63132.36651155623,57422.8561369726,68486.10191948163
2024-07-11,57344.9140625,59299.43359375,57120.37890625,57729.890625,28707803842.0,BTC-USD,62838.86155054882,56950.23775345387,68451.62716361994
2024-07-12,57899.46484375,58532.5546875,56590.17578125,57341.1953125,25604805221.0,BTC-USD,62828.31259888437,57029.29448415274,68711.51877119117
2024-07-13,59231.953125,59787.078125,57796.44140625,57908.73828125,17080061806.0,BTC-USD,62583.1953861636,56945.31806217399,68389.15514419021
2024-07-14,60787.79296875,61329.52734375,59225.25,59225.25,22223416061.0,BTC-USD,62555.26219412227,56975.6212822047,68376.05880293925
2024-07-15,64870.15234375,64870.15234375,60704.9296875,60815.45703125,38094526099.0,BTC-USD,62872.39495559813,57083.36447942207,68417.21521393006
2024-07-16,65097.1484375,65354.33984375,62487.96875,64784.41796875,41617346768.0,BTC-USD,62347.552758763755,57009.37786610904,68486.34531694258
2024-07-17,64118.79296875,66066.734375,63896.0859375,65091.83203125,32525071311.0,BTC-USD,62748.009362417026,56923.316105966434,68692.61223810437
2024-07-18,63974.06640625,65104.66015625,63246.1640625,64104.73828125,27239305337.0,BTC-USD,62454.50439817875,57357.07995925853,68492.07289411749
2024-07-19,66710.15625,67442.640625,63329.34375,63972.32421875,37003855410.0,BTC-USD,62443.95544328366,56280.69542992461,68056.45639211587
2024-07-20,67163.6484375,67610.734375,66299.6171875,66709.921875,19029581250.0,BTC-USD,62198.838227335495,56764.79124772709,67751.72092764507
2024-07-21,68154.5234375,68372.90625,65842.296875,67164.9140625,26652190004.0,BTC-USD,62170.90503206295,56505.406141947264,68220.27900184071
2024-07-22,67585.25,68480.0625,66611.296875,68152.9765625,42649109453.0,BTC-USD,62488.03779031081,56940.524304224586,68646.97474696756
2024-07-23,65927.671875,67779.015625,65484.4609375,67584.8046875,35605668666.0,BTC-USD,61963.19559024683,56483.92989182421,67613.1632236052
2024-07-24,65372.1328125,67113.984375,65146.99609375,65927.859375,27470942309.0,BTC-USD,62363.652190670466,56143.83855957988,67749.10162579693
2024-07-25,65777.2265625,66112.421875,63473.47265625,65375.875,38315761670.0,BTC-USD,62070.14722643136,56469.48308401913,67940.6152303544
